snapshot_date,office,race_id,state,primary_status,dem_candidate,dem_woman,dem_gender_basis,rep_candidate,rep_woman,rep_gender_basis,race_rating,dem_win_probability,rep_win_probability,expected_woman,notes,candidate_source,rating_source,gender_source,not_up_women_baseline
2026-08-29,House,AL-1,Alabama,Completed,Clyde Jones,0,Man — inferred (not on CAWP women roster),Jerry Carl,0,Man — inferred (not on CAWP women roster),Solid R,0.048307,0.951693,0.000000,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Alabama%2C_2026,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-29,House,AL-2,Alabama,Completed,Shomari Figures,0,Man — inferred (not on CAWP women roster),Rhett Marques,0,Man — inferred (not on CAWP women roster),Likely R,0.233831,0.766169,0.000000,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Alabama%2C_2026,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-29,House,AL-3,Alabama,Completed,Lee McInnis,0,Man — inferred (not on CAWP women roster),Mike Rogers,0,Man — inferred (not on CAWP women roster),Solid R,0.020000,0.980000,0.000000,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-29,House,AL-4,Alabama,Completed,Amanda Pusczek,1,Woman — Rutgers CAWP roster,Robert Aderholt,0,Man — inferred (not on CAWP women roster),Solid R,0.027190,0.972810,0.027190,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-29,House,AL-5,Alabama,Completed,Andrew Sneed,0,Man — inferred (not on CAWP women roster),Dale Strong,0,Man — inferred (not on CAWP women roster),Solid R,0.079624,0.920376,0.000000,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-29,House,AL-6,Alabama,Completed,Maurice Mercer,0,Man — inferred (not on CAWP women roster),Gary Palmer,0,Man — inferred (not on CAWP women roster),Solid R,0.040683,0.959317,0.000000,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Alabama%2C_2026,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-29,House,AL-7,Alabama,Completed,Terri Sewell,1,Woman — Rutgers CAWP roster,Ammie Akin,1,Woman — Rutgers CAWP roster,Solid D,0.956456,0.043544,1.000000,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Alabama%2C_2026,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-22,House,AK-AL,Alaska,Completed (top-four),Bill Hill,0,Man — inferred (not on CAWP women roster),Nick Begich III,0,Man — inferred (not on CAWP women roster),Likely R,0.177665,0.822335,0.000000,"Top-four general election; the two leading candidates are independent Bill Hill and Republican incumbent Nick Begich III. Candidate-level probabilities use Kalshi bid/ask midpoints (Hill 17.5¢; Begich 81¢), normalized across the pair. Candidate-level female probability is 0 because both candidates are men.",https://ballotpedia.org/United_States_House_of_Representatives_election_in_Alaska%2C_2026,https://kalshi.com/markets/kxalaskahouse/alaska-house-seat-winner/kxalaskahouse-26,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-22,House,AZ-1,Arizona,Completed,Amish Shah,0,Man — inferred (not on CAWP women roster),Jay Feely,0,Man — inferred (not on CAWP women roster),Toss-up,0.734694,0.265306,0.000000,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
2026-08-22,House,AZ-2,Arizona,Completed,Jonathan Nez,0,Man — inferred (not on CAWP women roster),Eli Crane,0,Man — inferred (not on CAWP women roster),Likely R,0.325000,0.675000,0.000000,Win probabilities normalized from Kalshi D/R raw prices. Win probabilities normalized from Kalshi D/R raw prices.,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,https://kalshi.com/markets/kxhouserace/house-race-winner,https://cawp.rutgers.edu/facts/elections-and-appointments/women-candidates-2026,0
